Area,Age,Sex,Year at 30 June,Value,Flags
"West Coast Region","Total people, age","Total people, sex","2006",32100,
"West Coast Region","Total people, age","Total people, sex","2007",32300,
"West Coast Region","Total people, age","Total people, sex","2008",32400,
"West Coast Region","Total people, age","Total people, sex","2009",32700,
"West Coast Region","Total people, age","Total people, sex","2010",32800,
"West Coast Region","Total people, age","Total people, sex","2011",33100,
"West Coast Region","Total people, age","Total people, sex","2012",33100,
"West Coast Region","Total people, age","Total people, sex","2013",33000,
"West Coast Region","Total people, age","Total people, sex","2014",32900,
"West Coast Region","Total people, age","Total people, sex","2015",32800,
"West Coast Region","Total people, age","Total people, sex","2016",32900,
"West Coast Region","Total people, age","Total people, sex","2017",32700,
"West Coast Region","Total people, age","Total people, sex","2018",32400,
"West Coast Region","Total people, age","Total people, sex","2019",32500,
"West Coast Region","Total people, age","Total people, sex","2020",32800,
"West Coast Region","Total people, age","Total people, sex","2021",32700,
"Canterbury Region","Total people, age","Total people, sex","2000",493600,
"Canterbury Region","Total people, age","Total people, sex","2001",496700,
"Canterbury Region","Total people, age","Total people, sex","2002",505100,
"Canterbury Region","Total people, age","Total people, sex","2003",515500,
"Canterbury Region","Total people, age","Total people, sex","2004",524800,
"Canterbury Region","Total people, age","Total people, sex","2005",531900,
"Canterbury Region","Total people, age","Total people, sex","2006",540000,
"Canterbury Region","Total people, age","Total people, sex","2007",547400,
"Canterbury Region","Total people, age","Total people, sex","2008",553800,
"Canterbury Region","Total people, age","Total people, sex","2009",560600,
"Canterbury Region","Total people, age","Total people, sex","2010",567700,
"Canterbury Region","Total people, age","Total people, sex","2011",559300,
"Canterbury Region","Total people, age","Total people, sex","2012",556000,
"Canterbury Region","Total people, age","Total people, sex","2013",562900,
"Canterbury Region","Total people, age","Total people, sex","2014",570600,
"Canterbury Region","Total people, age","Total people, sex","2015",585600,
"Canterbury Region","Total people, age","Total people, sex","2016",601900,
"Canterbury Region","Total people, age","Total people, sex","2017",614300,
"Canterbury Region","Total people, age","Total people, sex","2018",622800,
"Canterbury Region","Total people, age","Total people, sex","2019",631700,
"Canterbury Region","Total people, age","Total people, sex","2020",644100,
"Canterbury Region","Total people, age","Total people, sex","2021",649800,
"Otago Region","Total people, age","Total people, sex","2000",188100,
"Otago Region","Total people, age","Total people, sex","2001",188300,
"Otago Region","Total people, age","Total people, sex","2002",191000,
"Otago Region","Total people, age","Total people, sex","2003",193500,
"Otago Region","Total people, age","Total people, sex","2004",195900,
"Otago Region","Total people, age","Total people, sex","2005",197900,
"Otago Region","Total people, age","Total people, sex","2006",199800,
"Otago Region","Total people, age","Total people, sex","2007",201000,
"Otago Region","Total people, age","Total people, sex","2008",202100,
